NOMBDEP;NOMBPROV;NOMBDIST;UBIGEO;BUDGET;SEX_M;SEX_F;AGE_0_2;AGE_3_8;AGE_9_18;AGE_19_45;AGE_46_65;AGE_66_120;AREA_URB;AREA_RUR;CONTRACT_SERV;SUBSIDY;CASES_COVID;UBN_1;UBN_2;UBN_3;UBN_4;UBN_5;UBN_6
ANCASH;HUARI;CHAVIN DE HUANTAR;21004;143455.11;444599;499501;53435;119220;203713;323667;157859;93175;260939;683161;57000;43320;27;77.68;21.299999;2.55;29.24;3.6900001;16.93
ANCASH;HUARI;HUACACHI;21005;50000;100532;105668;8316;26050;48554;60539;39993;24093;82920;123280;50000;6080;4;93.349998;13.5;3.1300001;40.700001;4.1100001;10.76
ANCASH;HUARI;HUACCHIS;21006;96151.2;85355;89145;6726;23356;40721;45979;37052;21889;118371;56129;50000;3040;2;93.849998;7.4699998;0.66000003;11.65;0.88;9.8900003
ANCASH;HUARI;HUACHIS;21007;116034;188202;199698;23357;50138;85113;118253;65058;48549;169248;218652;47465;6080;5;84.25;12.82;1.5700001;19.280001;2.9400001;16.540001
ANCASH;HUARI;HUANTAR;21008;104876;146360;153940;17240;30323;53311;97451;55145;48787;111512;188788;0;9880;4;89.599998;12.38;5.6100001;21.959999;2.3399999;15.89
ANCASH;HUARI;MASIN;21009;86360.2;80965;84635;7216;16878;27274;49656;34001;31799;95764;69836;0;12920;7;71.260002;10.32;1.8200001;24.09;0.61000001;15.59
ANCASH;HUARI;PAUCAS;21010;50000;95633;95267;9417;25559;40112;58579;35220;22991;152622;38278;50000;14440;0;93.940002;10.51;2.22;18.59;3.4300001;9.29
ANCASH;HUARI;PONTO;21011;73127;147097;162503;13083;39495;69452;87427;57347;44141;97453;212147;50000;3800;1;86.529999;20.73;1.55;46.369999;4.79;17.360001
ANCASH;HUARI;RAHUAPAMPA;21012;88236.68;43535;38765;3424;11006;15164;27882;16142;9049;56742;25558;42208.12;11400;5;74.620003;11.68;0;25.379999;1.02;7.6100001
ANCASH;HUARI;RAPAYAN;21013;149473;75554;85946;7335;20294;41812;46824;27997;18705;70664;90836;50000;6080;5;95.5;15.4;2.8399999;18.48;4.27;8.7700005
ANCASH;HUARI;SAN MARCOS;21014;346863.19;666678;736622;83151;198340;256546;492916;229400;150895;479098;924202;1182306.14;62320;50;71.730003;19.709999;2.04;9.46;4.02;16.91
ANCASH;HUARI;SAN PEDRO DE CHANA;21015;103871;150549;153851;22625;46718;68976;96860;46351;24337;122054;182346;0;2280;4;86.419998;14.6;0.88;11.68;5.1100001;7.5900002
ANCASH;HUARI;UCO;21016;101002.2;68616;71184;7216;15900;27764;38283;30944;20426;65191;74609;50000;4560;2;89.699997;9.3000002;1.51;23.120001;2.01;12.81
ANCASH;HUARMEY;HUARMEY;21101;1066418.1;1349353;1373947;147559;317455;448544;1067886;518487;241758;2449616;273684;242292;800280;1349;35.619999;11.5;1.09;7.3299999;2.3499999;1.48
ANCASH;HUARMEY;COCHAPETI;21102;86788.5;44007;39493;3159;9704;16023;25727;16474;12976;24147;59353;0;760;1;98.650002;12.5;16.219999;66.550003;2.3599999;2.7
ANCASH;HUARMEY;CULEBRAS;21103;93272.95;169779;157821;20531;40160;51780;131762;57984;26623;186588;141012;49401.35;114000;176;37.639999;7.5300002;3.97;18.82;2.54;1.3200001
ANCASH;HUARMEY;HUAYAN;21104;75098;48872;43228;3499;8804;18849;25621;19639;16253;35440;56660;50000;12920;6;86.199997;8.4200001;4.04;23.23;0.34;2.02
ANCASH;HUARMEY;MALVAS;21105;77795.16;42870;37230;2933;4738;12071;23015;19405;20081;31927;48173;49118;6080;0;88;10.18;8.7299995;36.360001;2.1800001;1.8200001
ANCASH;HUAYLAS;CARAZ;21201;915403.36;1291143;1369557;148785;295671;503545;1038142;460987;230884;1663887;996813;1517722.9;414960;845;44.52;13.74;5.8600001;6.3699999;2.73;5.3499999
ANCASH;HUAYLAS;HUALLANCA;21202;231938.68;52396;49604;4469;10837;14970;35974;21897;15306;52396;49604;49901.78;2280;12;54.459999;10.71;5.9499998;7.1399999;2.0799999;4.1700001
ANCASH;HUAYLAS;HUATA;21203;74682.88;72481;77619;7483;15747;33058;47130;27697;20103;23788;126312;0;0;5;91.230003;15.54;4.0100002;16.790001;6.02;7.77
ANCASH;HUAYLAS;HUAYLAS;21204;128675.8;85109;94491;7930;17536;32391;47357;41549;34848;41549;138051;0;12160;12;85.290001;8.1999998;15.48;10.06;2.1700001;3.8699999
ANCASH;HUAYLAS;MATO;21205;53850;102859;103641;9381;21890;36967;68238;43556;28591;108778;97722;51965;16720;25;87.690002;10.62;2.53;5.0599999;1.6900001;9.4399996
ANCASH;HUAYLAS;PAMPAROMAS;21206;503568.55;419763;425237;47137;111028;209435;267853;136607;78412;45796;799204;364719.03;12920;67;92.730003;8.5299997;23.01;6.1999998;5.4699998;8.4799995
ANCASH;HUAYLAS;PUEBLO LIBRE;21207;244111.1;339802;368398;38203;73166;159736;243067;120528;78304;55963;652237;0;5320;99;88.169998;8.6800003;4.21;23.969999;2.73;19.77
ANCASH;HUAYLAS;SANTA CRUZ;21208;261801;229873;238027;23568;51604;104549;170450;75954;44791;75396;392504;100000;2280;23;90.010002;10.71;16.549999;21.9;3.2;7.4299998
ANCASH;HUAYLAS;SANTO TORIBIO;21209;100764.3;55963;59537;5027;12287;21223;31053;24351;22564;26809;88691;47500;2280;5;88.830002;8.9899998;8.1700001;14.17;0.54000002;5.1799998
ANCASH;HUAYLAS;YURACMARCA;21210;258942.1;111161;109039;14188;30723;45023;76640;34633;20221;50944;169256;0;1520;72;76.269997;9.8299999;11.02;14.75;2.03;12.71
ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;21301;413178.87;149347;167853;16219;36793;61611;101016;63026;41038;146408;170792;0;6080;73;80.550003;8.0900002;37.490002;42.189999;1.64;12.9
ANCASH;MARISCAL LUZURIAGA;CASCA;21302;326111.5;188111;211189;20466;50729;93293;121053;65425;50511;36577;362723;0;0;22;97.040001;40.610001;43.490002;75.209999;3.1300001;25.469999
ANCASH;MARISCAL LUZURIAGA;ELEAZAR GUZMAN BARRON;21303;108614.55;64562;67938;5335;19706;35711;33098;23952;15242;15242;117258;50000;0;8;93.449997;18.15;0.60000002;16.07;9.8199997;21.73
ANCASH;MARISCAL LUZURIAGA;FIDEL OLIVAS ESCUDERO;21304;148992.76;101346;106354;10995;28521;50183;62811;34834;21227;18288;189412;100000;760;13;95.040001;16.280001;8.3199997;26.02;2.8299999;23.01
ANCASH;MARISCAL LUZURIAGA;LLAMA;21305;83619.43;54771;53029;4573;11107;21778;31578;20798;19164;12849;94951;50000;2280;13;90.18;8.6300001;7.7399998;71.43;0.30000001;16.370001
ANCASH;MARISCAL LUZURIAGA;LLUMPA;21306;304363;291056;320444;34178;85118;159460;197339;86533;51049;36355;575145;190785;4560;21;93.769997;8.1700001;2.74;19.700001;3.99;28.68
ANCASH;MARISCAL LUZURIAGA;LUCMA;21307;221044.37;139774;157626;13825;33419;68798;99170;53885;30807;13607;283793;100000;0;4;94.410004;15.32;7.7199998;19.57;0.88999999;31.209999
ANCASH;MARISCAL LUZURIAGA;MUSGA;21308;107967.14;51280;54220;3920;12630;21013;37344;19162;11759;34513;70987;50000;760;4;96.68;11.96;31.559999;70.43;2.99;13.29
ANCASH;OCROS;OCROS;21401;144840.52;63879;61521;6324;13397;19078;40835;26152;20686;85101;40299;45017.04;25840;38;78.550003;12.59;13.75;31.469999;0;2.0999999
ANCASH;OCROS;ACAS;21402;184330.22;35364;34936;3536;6644;9966;28184;13396;9323;36436;33864;49991.72;0;3;94.220001;15.56;43.110001;67.559998;2.22;1.78
ANCASH;OCROS;CAJAMARQUILLA;21403;82903.2;13510;14690;536;1930;3431;9650;6648;6433;27342;858;0;2280;1;96.580002;10.26;12.82;49.57;2.5599999;5.1300001
ANCASH;OCROS;CARHUAPAMPA;21404;131185.2;24739;22061;1606;4070;5141;12637;14029;9960;42945;3855;0;4560;18;79.800003;8.3699999;9.8500004;25.620001;1.97;4.9299998
ANCASH;OCROS;COCHAS;21405;62119.6;78122;72978;10073;15324;25933;57654;26898;16610;49188;101912;45654.84;0;4;81.93;12.18;30.67;34.450001;1.47;2.73
ANCASH;OCROS;CONGAS;21406;50000;71564;57636;6642;14463;24533;42424;23783;18212;95239;33961;50000;760;13;90.68;12.95;16.139999;59.549999;0.44999999;3.4100001
ANCASH;OCROS;LLIPA;21407;96238;14150;14150;858;2358;3752;9219;6968;5360;25834;2466;0;3800;0;71.550003;9.4799995;12.93;37.93;0;5.1700001
ANCASH;OCROS;SAN CRISTOBAL DE RAJAN;21408;133703.28;17912;21988;1931;2574;6435;10833;9117;9224;28852;11048;50000;1520;0;95.879997;7.2199998;18.040001;72.68;1.55;6.1900001
ANCASH;OCROS;SAN PEDRO;21409;152180.03;35549;31051;2570;6853;8245;18952;18417;12314;24627;41973;49233.38;10640;4;74.519997;11.97;37.84;47.880001;0;1.9299999
ANCASH;OCROS;SANTIAGO DE CHILCAS;21410;111741.07;18300;18300;1712;4174;5672;9525;8133;7812;31677;4923;0;3040;1;87.970001;10.76;13.92;58.860001;0;5.6999998
ANCASH;PALLASCA;CABANA;21501;129990.67;116921;129279;15475;33851;44490;78341;46317;29553;183119;63081;0;90440;10;71.550003;9.3400002;13.65;11.06;1.72;4.7399998
ANCASH;PALLASCA;BOLOGNESI;21502;49759.88;54024;51876;6552;11707;22770;32006;18581;15359;37376;68524;0;3040;1;85.919998;7.9400001;15.52;13;1.8099999;4.3299999
ANCASH;PALLASCA;CONCHUCOS;21503;349756.6;385724;399476;48350;123023;188457;235732;131296;63284;455884;329316;161463;14440;10;89.889999;13.68;9.1899996;19.299999;2.04;8.3199997
ANCASH;PALLASCA;HUACASCHUQUE;21504;50000;26874;27626;3547;7632;12362;17092;8170;6020;21069;33431;50000;0;2;85.900002;14.1;11.54;19.23;1.28;9.6199999
ANCASH;PALLASCA;HUANDOVAL;21505;86983.81;51143;48457;4728;13001;19232;31911;17728;13753;64036;35564;0;760;0;83.620003;10.58;13.31;19.799999;3.0699999;3.0699999
ANCASH;PALLASCA;LACABAMBA;21506;53499.49;27311;26989;2688;7312;10000;16881;9677;8172;30860;23440;0;3800;0;86.25;13.75;5;5.6300001;0.63;5
ANCASH;PALLASCA;LLAPO;21507;50000;28279;30321;2688;6989;13978;17741;10860;7527;56987;1613;50000;6840;0;90.910004;6.9499998;0;3.21;1.0700001;7.4899998
ANCASH;PALLASCA;PALLASCA;21508;99999.56;121093;128507;11819;33846;46202;77255;48674;34061;101645;147955;82412.4;9880;37;87.860001;11.05;5.1799998;17.049999;1.23;7.5
ANCASH;PALLASCA;PAMPAS;21509;100000;190482;214118;22991;55866;88204;115278;74345;50280;254943;149657;100000;32680;13;81.739998;11.15;5.9000001;18.42;2.4200001;13.97
